,State,Mountain_Name,Elevation,Latitude,Longitude
465,Washington,Point Success,4302.0,46.846,-121.768
466,Washington,Liberty Cap,4295.0,46.863,-121.775
467,Washington,Russell Cliff,3950.0,46.864,-121.76
468,Washington,Gibraltar Rock,3863.0,46.846,-121.745
469,Washington,Mount Adams  ,3745.0,46.203,-121.491
470,West Virginia,Spruce Mountain  ,1482.0,38.7,-79.533
471,West Virginia,Allegheny Mountains  ,1482.0,38.7,-79.533
472,West Virginia,Spruce Knob  ,1482.0,38.7,-79.533
473,West Virginia,Bald Knob  ,1476.0,38.448,-79.931
474,West Virginia,Mount Porte Crayon  ,1452.0,38.929,-79.456
475,West Virginia,Back Allegheny Mountain  ,1442.0,38.49,-79.902
476,West Virginia,Roaring Plains,1441.0,38.929,-79.424
477,West Virginia,Red Spruce Knob,1434.0,38.327,-80.154
478,West Virginia,Beech Flat Knob,1433.0,38.497,-79.97
479,West Virginia,Snyder Knob,1432.0,38.537,-79.964
480,Wisconsin,Timms Hill  ,591.0,45.451,-90.195
481,Wisconsin,Lookout Mountain,586.0,45.401,-89.483
482,Wisconsin,Rib Mountain  ,585.0,44.921,-89.695
483,Wisconsin,Harrison Hills,584.0,45.421,-89.508
484,Wisconsin,Sugarbush Hill,583.0,45.558,-88.813
485,Wisconsin,Pearson Hill,576.0,45.448,-90.178
486,Wisconsin,Mount Whittlesey,571.0,46.301,-90.617
487,Wisconsin,East Hill,565.0,45.558,-88.888
488,Wisconsin,Military Hill,560.0,46.067,-89.079
489,Wisconsin,Baldy Hill,554.0,45.437,-89.413
490,Wyoming,Gannett Peak  ,4207.0,43.184,-109.654
491,Wyoming,Grand Teton  ,4200.0,43.741,-110.802
492,Wyoming,Fremont Peak  ,4177.0,43.125,-109.618
493,Wyoming,Turret Peak  ,4147.0,43.165,-109.619
494,Wyoming,Doublet Peak  ,4143.0,43.163,-109.63
495,Wyoming,Mount Helen  ,4128.0,43.151,-109.631
496,Wyoming,Mount Sacagawea  ,4119.0,43.137,-109.625
497,Wyoming,Dinwoody Peak,4115.0,43.164,-109.632
498,Wyoming,Jackson Peak  ,4114.0,43.119,-109.603
499,Wyoming,Bastion Peak  ,4103.0,43.206,-109.665
500,DC,Point Reno,123.0,38.952,-77.076
501,DC,Mount Saint Alban,116.0,38.931,-77.071
502,DC,Mount Alto,107.0,38.924,-77.075
503,DC,Camp Hill,85.0,38.922,-77.067
504,DC,Good Hope Hill,83.0,38.868,-76.962
505,DC,Mount Hamilton,71.0,38.909,-76.975
506,DC,Bunker Hill,71.0,38.935,-76.988
507,DC,Soapstone Valley,65.0,38.948,-77.065
508,DC,Lees Hill,63.0,38.913,-77.066
509,DC,Round Hill,61.0,38.926,-76.989
