State,Mountain_Name,Elevation,Latitude / Longitude
Washington,Mount Rainier  ,"4,392 m",46.853 / -121.76
Washington,West Crater,"4,377 m",46.852 / -121.761
Washington,East Crater,"4,336 m",46.852 / -121.758
Washington,Point Success,"4,302 m",46.846 / -121.768
Washington,Liberty Cap,"4,295 m",46.863 / -121.775
Washington,Russell Cliff,"3,950 m",46.864 / -121.76
Washington,Gibraltar Rock,"3,863 m",46.846 / -121.745
Washington,Mount Adams  ,"3,745 m",46.203 / -121.491
West Virginia,Spruce Mountain  ,"1,482 m",38.7 / -79.533
West Virginia,Allegheny Mountains  ,"1,482 m",38.7 / -79.533
West Virginia,Spruce Knob  ,"1,482 m",38.7 / -79.533
West Virginia,Bald Knob  ,"1,476 m",38.448 / -79.931
West Virginia,Mount Porte Crayon  ,"1,452 m",38.929 / -79.456
West Virginia,Back Allegheny Mountain  ,"1,442 m",38.49 / -79.902
West Virginia,Roaring Plains,"1,441 m",38.929 / -79.424
West Virginia,Red Spruce Knob,"1,434 m",38.327 / -80.154
West Virginia,Beech Flat Knob,"1,433 m",38.497 / -79.97
West Virginia,Snyder Knob,"1,432 m",38.537 / -79.964
Wisconsin,Timms Hill  ,591 m,45.451 / -90.195
Wisconsin,Lookout Mountain,586 m,45.401 / -89.483
Wisconsin,Rib Mountain  ,585 m,44.921 / -89.695
Wisconsin,Harrison Hills,584 m,45.421 / -89.508
Wisconsin,Sugarbush Hill,583 m,45.558 / -88.813
Wisconsin,Pearson Hill,576 m,45.448 / -90.178
Wisconsin,Mount Whittlesey,571 m,46.301 / -90.617
Wisconsin,East Hill,565 m,45.558 / -88.888
Wisconsin,Military Hill,560 m,46.067 / -89.079
Wisconsin,Baldy Hill,554 m,45.437 / -89.413
Wyoming,Gannett Peak  ,"4,207 m",43.184 / -109.654
Wyoming,Grand Teton  ,"4,200 m",43.741 / -110.802
Wyoming,Fremont Peak  ,"4,177 m",43.125 / -109.618
Wyoming,Turret Peak  ,"4,147 m",43.165 / -109.619
Wyoming,Doublet Peak  ,"4,143 m",43.163 / -109.63
Wyoming,Mount Helen  ,"4,128 m",43.151 / -109.631
Wyoming,Mount Sacagawea  ,"4,119 m",43.137 / -109.625
Wyoming,Dinwoody Peak,"4,115 m",43.164 / -109.632
Wyoming,Jackson Peak  ,"4,114 m",43.119 / -109.603
Wyoming,Bastion Peak  ,"4,103 m",43.206 / -109.665
DC,Point Reno,123 m,38.952 / -77.076
DC,Mount Saint Alban,116 m,38.931 / -77.071
DC,Mount Alto,107 m,38.924 / -77.075
DC,Camp Hill,85 m,38.922 / -77.067
DC,Good Hope Hill,83 m,38.868 / -76.962
DC,Mount Hamilton,71 m,38.909 / -76.975
DC,Bunker Hill,71 m,38.935 / -76.988
DC,Soapstone Valley,65 m,38.948 / -77.065
DC,Lees Hill,63 m,38.913 / -77.066
DC,Round Hill,61 m,38.926 / -76.989
